Id,Pasture,Date,Date_mean,Year,Season,Low,High,Biomass_kg_ha,geometry,NDVI,DFI,NDTI,SATVI,NDII7,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,NIR1,SWIR1,SWIR2
20SE_P4,20SE,2013-06-12,2013-06-12,2013,June,8.27,24.45,1717,"POLYGON ((526875.0842895508 4518556.303894043, 526873.6140324458 4518556.376123142, 526872.1579347205 4518556.592114837, 526870.730019392 4518556.949789007, 526869.3440380653 4518557.445701055, 526868.0133384984 4518558.075075078, 526866.7507360554 4518558.831849858, 526865.5683902883 4518559.708737243, 526864.477687833 4518560.697292325, 526863.4891327503 4518561.787994781, 526862.6122453662 4518562.970340548, 526861.8554705855 4518564.232942991, 526861.2260965632 4518565.563642558, 526860.7301845148 4518566.949623884, 526860.3725103447 4518568.377539213, 526860.1565186507 4518569.833636938, 526860.0842895508 4518571.303894043, 526860.0842895508 4518705.303894043, 526860.1565186507 4518706.774151148, 526860.3725103447 4518708.230248873, 526860.7301845148 4518709.658164202, 526861.2260965632 4518711.044145528, 526861.8554705855 4518712.374845095, 526862.6122453662 4518713.637447538, 526863.4891327503 4518714.819793305, 526864.477687833 4518715.910495761, 526865.5683902883 4518716.899050843, 526866.7507360554 4518717.775938228, 526868.0133384984 4518718.532713008, 526869.3440380653 4518719.162087031, 526870.730019392 4518719.657999079, 526872.1579347205 4518720.015673249, 526873.6140324458 4518720.2316649435, 526875.0842895508 4518720.303894043, 526981.1342773438 4518720.303894043, 526982.6045344487 4518720.2316649435, 526984.060632174 4518720.015673249, 526985.4885475026 4518719.657999079, 526986.8745288292 4518719.162087031, 526988.2052283961 4518718.532713008, 526989.4678308391 4518717.775938228, 526990.6501766063 4518716.899050843, 526991.7408790615 4518715.910495761, 526992.7294341442 4518714.819793305, 526993.6063215283 4518713.637447538, 526994.363096309 4518712.374845095, 526994.9924703314 4518711.044145528, 526995.4883823798 4518709.658164202, 526995.8460565498 4518708.230248873, 526996.0620482438 4518706.774151148, 526996.1342773438 4518705.303894043, 526996.1342773438 4518571.303894043, 526996.0620482438 4518569.833636938, 526995.8460565498 4518568.377539213, 526995.4883823798 4518566.949623884, 526994.9924703314 4518565.563642558, 526994.363096309 4518564.232942991, 526993.6063215283 4518562.970340548, 526992.7294341442 4518561.787994781, 526991.7408790615 4518560.697292325, 526990.6501766063 4518559.708737243, 526989.4678308391 4518558.831849858, 526988.2052283961 4518558.075075078, 526986.8745288292 4518557.445701055, 526985.4885475026 4518556.949789007, 526984.060632174 4518556.592114837, 526982.6045344487 4518556.376123142, 526981.1342773438 4518556.303894043, 526875.0842895508 4518556.303894043))",0.3372875701815903,14.393589696836555,0.16874660418814574,0.2155498476993924,0.013636172304711673,147.58972439687236,159.48455048640105,132.19767058144274,173.0515000383286,131.319896483303,123.30274136582511,2438.1305477755413,3335.9547661474357,2371.2696257882135
17S_P2,17S,2013-06-12,2013-06-12,2013,June,1.97,11.35,565,"POLYGON ((525761.1212768555 4520134.549499512, 525759.6510197505 4520134.621728611, 525758.1949220252 4520134.837720306, 525756.7670066967 4520135.195394476, 525755.38102537 4520135.691306524, 525754.0503258031 4520136.320680547, 525752.7877233601 4520137.077455327, 525751.605377593 4520137.954342712, 525750.5146751377 4520138.942897794, 525749.526120055 4520140.033600249, 525748.6492326709 4520141.215946017, 525747.8924578902 4520142.47854846, 525747.2630838678 4520143.809248026, 525746.7671718195 4520145.195229352, 525746.4094976494 4520146.623144682, 525746.1935059554 4520148.079242406, 525746.1212768555 4520149.549499512, 525746.1212768555 4520283.549499512, 525746.1935059554 4520285.019756617, 525746.4094976494 4520286.475854342, 525746.7671718195 4520287.903769671, 525747.2630838678 4520289.289750997, 525747.8924578902 4520290.620450564, 525748.6492326709 4520291.883053007, 525749.526120055 4520293.065398774, 525750.5146751377 4520294.15610123, 525751.605377593 4520295.144656312, 525752.7877233601 4520296.0215436965, 525754.0503258031 4520296.778318477, 525755.38102537 4520297.407692499, 525756.7670066967 4520297.9036045475, 525758.1949220252 4520298.261278718, 525759.6510197505 4520298.477270412, 525761.1212768555 4520298.549499512, 525867.171081543 4520298.549499512, 525868.6413386479 4520298.477270412, 525870.0974363732 4520298.261278718, 525871.5253517018 4520297.9036045475, 525872.9113330285 4520297.407692499, 525874.2420325953 4520296.778318477, 525875.5046350383 4520296.0215436965, 525876.6869808055 4520295.144656312, 525877.7776832607 4520294.15610123, 525878.7662383434 4520293.065398774, 525879.6431257275 4520291.883053007, 525880.3999005082 4520290.620450564, 525881.0292745306 4520289.289750997, 525881.525186579 4520287.903769671, 525881.882860749 4520286.475854342, 525882.098852443 4520285.019756617, 525882.171081543 4520283.549499512, 525882.171081543 4520149.549499512, 525882.098852443 4520148.079242406, 525881.882860749 4520146.623144682, 525881.525186579 4520145.195229352, 525881.0292745306 4520143.809248026, 525880.3999005082 4520142.47854846, 525879.6431257275 4520141.215946017, 525878.7662383434 4520140.033600249, 525877.7776832607 4520138.942897794, 525876.6869808055 4520137.954342712, 525875.5046350383 4520137.077455327, 525874.2420325953 4520136.320680547, 525872.9113330285 4520135.691306524, 525871.5253517018 4520135.195394476, 525870.0974363732 4520134.837720306, 525868.6413386479 4520134.621728611, 525867.171081543 4520134.549499512, 525761.1212768555 4520134.549499512))",0.28490061010042,11.07747151149436,0.10986352614227396,0.18388701435741353,-0.06444215654116264,150.88088413736418,157.66637192668227,136.08867646998772,165.55422903613766,135.1948093495701,129.20227901397823,2663.3721322801657,3783.14335463076,3033.851676039739
17S_P3,17S,2013-06-12,2013-06-12,2013,June,5.16,19.67,1188,"POLYGON ((526207.4447021484 4519835.100891113, 526205.9744450435 4519835.173120213, 526204.5183473182 4519835.389111907, 526203.0904319896 4519835.7467860775, 526201.704450663 4519836.242698126, 526200.3737510961 4519836.872072148, 526199.1111486531 4519837.6288469285, 526197.9288028859 4519838.505734313, 526196.8381004307 4519839.494289395, 526195.849545348 4519840.584991851, 526194.9726579639 4519841.767337618, 526194.2158831832 4519843.029940061, 526193.5865091608 4519844.360639628, 526193.0905971124 4519845.746620954, 526192.7329229424 4519847.174536283, 526192.5169312484 4519848.630634008, 526192.4447021484 4519850.100891113, 526192.4447021484 4519984.100891113, 526192.5169312484 4519985.571148219, 526192.7329229424 4519987.027245943, 526193.0905971124 4519988.455161273, 526193.5865091608 4519989.841142599, 526194.2158831832 4519991.171842165, 526194.9726579639 4519992.434444608, 526195.849545348 4519993.616790376, 526196.8381004307 4519994.707492831, 526197.9288028859 4519995.696047913, 526199.1111486531 4519996.572935298, 526200.3737510961 4519997.329710078, 526201.704450663 4519997.959084101, 526203.0904319896 4519998.454996149, 526204.5183473182 4519998.812670319, 526205.9744450435 4519999.028662014, 526207.4447021484 4519999.100891113, 526313.4946899414 4519999.100891113, 526314.9649470464 4519999.028662014, 526316.4210447717 4519998.812670319, 526317.8489601002 4519998.454996149, 526319.2349414269 4519997.959084101, 526320.5656409938 4519997.329710078, 526321.8282434368 4519996.572935298, 526323.0105892039 4519995.696047913, 526324.1012916592 4519994.707492831, 526325.0898467419 4519993.616790376, 526325.966734126 4519992.434444608, 526326.7235089067 4519991.171842165, 526327.352882929 4519989.841142599, 526327.8487949774 4519988.455161273, 526328.2064691475 4519987.027245943, 526328.4224608415 4519985.571148219, 526328.4946899414 4519984.100891113, 526328.4946899414 4519850.100891113, 526328.4224608415 4519848.630634008, 526328.2064691475 4519847.174536283, 526327.8487949774 4519845.746620954, 526327.352882929 4519844.360639628, 526326.7235089067 4519843.029940061, 526325.966734126 4519841.767337618, 526325.0898467419 4519840.584991851, 526324.1012916592 4519839.494289395, 526323.0105892039 4519838.505734313, 526321.8282434368 4519837.6288469285, 526320.5656409938 4519836.872072148, 526319.2349414269 4519836.242698126, 526317.8489601002 4519835.7467860775, 526316.4210447717 4519835.389111907, 526314.9649470464 4519835.173120213, 526313.4946899414 4519835.100891113, 526207.4447021484 4519835.100891113))",0.3217534212706422,13.786733127511846,0.15718433518979202,0.2023699891372118,0.002284244600052935,147.68615928279542,159.48345127333954,134.21418872619398,173.144646533562,133.64254029693748,125.91470940042481,2398.5592569692135,3279.434484888806,2398.2147355543825
26W_P1,26W,2013-06-12,2013-06-12,2013,June,2.48,8.52,566,"POLYGON ((521114.12091064453 4517596.3779296875, 521112.6506535396 4517596.450158787, 521111.19455581426 4517596.666150481, 521109.76664048573 4517597.023824652, 521108.38065915904 4517597.5197367, 521107.0499595921 4517598.149110722, 521105.78735714924 4517598.905885503, 521104.6050113821 4517599.7827728875, 521103.5143089267 4517600.77132797, 521102.52575384406 4517601.862030425, 521101.64886646 4517603.044376193, 521100.8920916793 4517604.3069786355, 521100.26271765685 4517605.637678202, 521099.7668056085 4517607.023659528, 521099.4091314385 4517608.451574857, 521099.19313974446 4517609.907672582, 521099.12091064453 4517611.3779296875, 521099.12091064453 4517745.3779296875, 521099.19313974446 4517746.848186793, 521099.4091314385 4517748.304284518, 521099.7668056085 4517749.732199847, 521100.26271765685 4517751.118181173, 521100.8920916793 4517752.4488807395, 521101.64886646 4517753.711483182, 521102.52575384406 4517754.89382895, 521103.5143089267 4517755.984531405, 521104.6050113821 4517756.9730864875, 521105.78735714924 4517757.849973872, 521107.0499595921 4517758.606748653, 521108.38065915904 4517759.236122675, 521109.76664048573 4517759.732034723, 521111.19455581426 4517760.089708894, 521112.6506535396 4517760.305700588, 521114.12091064453 4517760.3779296875, 521220.1708984375 4517760.3779296875, 521221.64115554246 4517760.305700588, 521223.09725326777 4517760.089708894, 521224.5251685963 4517759.732034723, 521225.911149923 4517759.236122675, 521227.2418494899 4517758.606748653, 521228.5044519328 4517757.849973872, 521229.68679769995 4517756.9730864875, 521230.7775001553 4517755.984531405, 521231.76605523797 4517754.89382895, 521232.642942622 4517753.711483182, 521233.3997174027 4517752.4488807395, 521234.0290914252 4517751.118181173, 521234.5250034735 4517749.732199847, 521234.88267764356 4517748.304284518, 521235.0986693376 4517746.848186793, 521235.1708984375 4517745.3779296875, 521235.1708984375 4517611.3779296875, 521235.0986693376 4517609.907672582, 521234.88267764356 4517608.451574857, 521234.5250034735 4517607.023659528, 521234.0290914252 4517605.637678202, 521233.3997174027 4517604.3069786355, 521232.642942622 4517603.044376193, 521231.76605523797 4517601.862030425, 521230.7775001553 4517600.77132797, 521229.68679769995 4517599.7827728875, 521228.5044519328 4517598.905885503, 521227.2418494899 4517598.149110722, 521225.911149923 4517597.5197367, 521224.5251685963 4517597.023824652, 521223.09725326777 4517596.666150481, 521221.64115554246 4517596.450158787, 521220.1708984375 4517596.3779296875, 521114.12091064453 4517596.3779296875))",0.29323339079337285,10.310657415169414,0.10349910729704483,0.1694998907935204,-0.038759077904473145,146.01009903473394,152.97070700651867,131.4307539465213,161.94232558848668,130.93655301996296,125.43403098640685,2856.2421847564983,3803.730909994061,3090.551955846658
17S_P4,17S,2013-06-12,2013-06-12,2013,June,6.92,23.93,1524,"POLYGON ((526287.9757080078 4520116.959289551, 526286.5054509029 4520117.03151865, 526285.0493531775 4520117.247510345, 526283.621437849 4520117.605184515, 526282.2354565223 4520118.101096563, 526280.9047569555 4520118.730470586, 526279.6421545125 4520119.487245366, 526278.4598087453 4520120.364132751, 526277.36910629 4520121.352687833, 526276.3805512073 4520122.443390288, 526275.5036638232 4520123.625736056, 526274.7468890426 4520124.888338499, 526274.1175150202 4520126.2190380655, 526273.6216029718 4520127.6050193915, 526273.2639288018 4520129.032934721, 526273.0479371077 4520130.4890324455, 526272.9757080078 4520131.959289551, 526272.9757080078 4520265.959289551, 526273.0479371077 4520267.429546656, 526273.2639288018 4520268.885644381, 526273.6216029718 4520270.31355971, 526274.1175150202 4520271.699541036, 526274.7468890426 4520273.030240603, 526275.5036638232 4520274.292843046, 526276.3805512073 4520275.475188813, 526277.36910629 4520276.565891269, 526278.4598087453 4520277.554446351, 526279.6421545125 4520278.431333736, 526280.9047569555 4520279.188108516, 526282.2354565223 4520279.8174825385, 526283.621437849 4520280.313394587, 526285.0493531775 4520280.671068757, 526286.5054509029 4520280.887060451, 526287.9757080078 4520280.959289551, 526394.0256958008 4520280.959289551, 526395.4959529057 4520280.887060451, 526396.952050631 4520280.671068757, 526398.3799659596 4520280.313394587, 526399.7659472863 4520279.8174825385, 526401.0966468531 4520279.188108516, 526402.3592492961 4520278.431333736, 526403.5415950633 4520277.554446351, 526404.6322975185 4520276.565891269, 526405.6208526012 4520275.475188813, 526406.4977399854 4520274.292843046, 526407.254514766 4520273.030240603, 526407.8838887884 4520271.699541036, 526408.3798008368 4520270.31355971, 526408.7374750068 4520268.885644381, 526408.9534667009 4520267.429546656, 526409.0256958008 4520265.959289551, 526409.0256958008 4520131.959289551, 526408.9534667009 4520130.4890324455, 526408.7374750068 4520129.032934721, 526408.3798008368 4520127.6050193915, 526407.8838887884 4520126.2190380655, 526407.254514766 4520124.888338499, 526406.4977399854 4520123.625736056, 526405.6208526012 4520122.443390288, 526404.6322975185 4520121.352687833, 526403.5415950633 4520120.364132751, 526402.3592492961 4520119.487245366, 526401.0966468531 4520118.730470586, 526399.7659472863 4520118.101096563, 526398.3799659596 4520117.605184515, 526396.952050631 4520117.247510345, 526395.4959529057 4520117.03151865, 526394.0256958008 4520116.959289551, 526287.9757080078 4520116.959289551))",0.3558305381662151,12.536287295762087,0.15732315483328904,0.19815808678720662,0.04340428483064802,146.97583749734468,159.3892211023132,130.27670531977284,173.95206628312843,129.3353205103208,121.70213715389615,2491.288973335294,3146.753801853336,2316.584603044814
17S_P5,17S,2013-06-12,2013-06-12,2013,June,2.81,14.69,756,"POLYGON ((526491.2598876953 4519962.008911133, 526489.7896305904 4519962.081140232, 526488.333532865 4519962.297131927, 526486.9056175365 4519962.654806097, 526485.5196362098 4519963.150718145, 526484.188936643 4519963.780092168, 526482.9263342 4519964.536866948, 526481.7439884328 4519965.413754333, 526480.6532859775 4519966.402309415, 526479.6647308948 4519967.49301187, 526478.7878435107 4519968.675357638, 526478.03106873 4519969.937960081, 526477.4016947077 4519971.268659648, 526476.9057826593 4519972.654640974, 526476.5481084893 4519974.082556303, 526476.3321167952 4519975.5386540275, 526476.2598876953 4519977.008911133, 526476.2598876953 4520111.008911133, 526476.3321167952 4520112.479168238, 526476.5481084893 4520113.935265963, 526476.9057826593 4520115.363181292, 526477.4016947077 4520116.749162618, 526478.03106873 4520118.079862185, 526478.7878435107 4520119.342464628, 526479.6647308948 4520120.524810395, 526480.6532859775 4520121.615512851, 526481.7439884328 4520122.604067933, 526482.9263342 4520123.480955318, 526484.188936643 4520124.237730098, 526485.5196362098 4520124.867104121, 526486.9056175365 4520125.363016169, 526488.333532865 4520125.720690339, 526489.7896305904 4520125.936682033, 526491.2598876953 4520126.008911133, 526597.3098754883 4520126.008911133, 526598.7801325932 4520125.936682033, 526600.2362303186 4520125.720690339, 526601.6641456471 4520125.363016169, 526603.0501269738 4520124.867104121, 526604.3808265406 4520124.237730098, 526605.6434289836 4520123.480955318, 526606.8257747508 4520122.604067933, 526607.916477206 4520121.615512851, 526608.9050322887 4520120.524810395, 526609.7819196729 4520119.342464628, 526610.5386944535 4520118.079862185, 526611.1680684759 4520116.749162618, 526611.6639805243 4520115.363181292, 526612.0216546943 4520113.935265963, 526612.2376463884 4520112.479168238, 526612.3098754883 4520111.008911133, 526612.3098754883 4519977.008911133, 526612.2376463884 4519975.5386540275, 526612.0216546943 4519974.082556303, 526611.6639805243 4519972.654640974, 526611.1680684759 4519971.268659648, 526610.5386944535 4519969.937960081, 526609.7819196729 4519968.675357638, 526608.9050322887 4519967.49301187, 526607.916477206 4519966.402309415, 526606.8257747508 4519965.413754333, 526605.6434289836 4519964.536866948, 526604.3808265406 4519963.780092168, 526603.0501269738 4519963.150718145, 526601.6641456471 4519962.654806097, 526600.2362303186 4519962.297131927, 526598.7801325932 4519962.081140232, 526597.3098754883 4519962.008911133, 526491.2598876953 4519962.008911133))",0.28683932851062144,11.475548521070007,0.11464138791500819,0.1728489047112218,-0.03720117426658223,146.835215635746,155.5306331384815,135.24066767731082,165.93639734159325,135.04153673895232,128.72971596663055,2515.8778409470433,3412.011296151913,2711.7431063875497
26E_P4,26E,2013-06-12,2013-06-12,2013,June,1.91,7.48,465,"POLYGON ((521856.5242919922 4517083.534729004, 521855.05403488723 4517083.606958103, 521853.5979371619 4517083.822949798, 521852.1700218334 4517084.180623968, 521850.7840405067 4517084.676536016, 521849.45334093977 4517085.305910039, 521848.1907384969 4517086.062684819, 521847.00839272974 4517086.939572204, 521845.91769027436 4517087.928127286, 521844.9291351917 4517089.0188297415, 521844.0522478077 4517090.201175509, 521843.295473027 4517091.463777952, 521842.6660990045 4517092.794477519, 521842.1701869562 4517094.180458845, 521841.8125127861 4517095.608374174, 521841.5965210921 4517097.064471899, 521841.5242919922 4517098.534729004, 521841.5242919922 4517232.534729004, 521841.5965210921 4517234.004986109, 521841.8125127861 4517235.461083834, 521842.1701869562 4517236.888999163, 521842.6660990045 4517238.274980489, 521843.295473027 4517239.605680056, 521844.0522478077 4517240.868282499, 521844.9291351917 4517242.050628266, 521845.91769027436 4517243.141330722, 521847.00839272974 4517244.129885804, 521848.1907384969 4517245.006773189, 521849.45334093977 4517245.763547969, 521850.7840405067 4517246.392921992, 521852.1700218334 4517246.88883404, 521853.5979371619 4517247.24650821, 521855.05403488723 4517247.462499904, 521856.5242919922 4517247.534729004, 521962.57427978516 4517247.534729004, 521964.0445368901 4517247.462499904, 521965.5006346154 4517247.24650821, 521966.92854994396 4517246.88883404, 521968.31453127065 4517246.392921992, 521969.6452308376 4517245.763547969, 521970.90783328045 4517245.006773189, 521972.0901790476 4517244.129885804, 521973.180881503 4517243.141330722, 521974.1694365856 4517242.050628266, 521975.04632396967 4517240.868282499, 521975.80309875036 4517239.605680056, 521976.43247277284 4517238.274980489, 521976.92838482116 4517236.888999163, 521977.2860589912 4517235.461083834, 521977.50205068523 4517234.004986109, 521977.57427978516 4517232.534729004, 521977.57427978516 4517098.534729004, 521977.50205068523 4517097.064471899, 521977.2860589912 4517095.608374174, 521976.92838482116 4517094.180458845, 521976.43247277284 4517092.794477519, 521975.80309875036 4517091.463777952, 521975.04632396967 4517090.201175509, 521974.1694365856 4517089.0188297415, 521973.180881503 4517087.928127286, 521972.0901790476 4517086.939572204, 521970.90783328045 4517086.062684819, 521969.6452308376 4517085.305910039, 521968.31453127065 4517084.676536016, 521966.92854994396 4517084.180623968, 521965.5006346154 4517083.822949798, 521964.0445368901 4517083.606958103, 521962.57427978516 4517083.534729004, 521856.5242919922 4517083.534729004))",0.2816811639375349,10.912253325068507,0.10776551929396434,0.1751290157814797,-0.05484731036871317,146.69233638524693,153.48860784536356,133.09600339163535,162.18174189714313,132.70403783455828,127.31507502700961,2858.485176432703,3968.2237697057544,3199.107197414625
26W_P2,26W,2013-06-12,2013-06-12,2013,June,2.23,8.97,543,"POLYGON ((521371.0778808594 4517595.339477539, 521369.6076237544 4517595.4117066385, 521368.1515260291 4517595.627698333, 521366.7236107006 4517595.985372503, 521365.3376293739 4517596.481284551, 521364.00692980696 4517597.110658574, 521362.7443273641 4517597.867433354, 521361.5619815969 4517598.744320739, 521360.47127914155 4517599.732875821, 521359.4827240589 4517600.823578277, 521358.60583667486 4517602.005924044, 521357.8490618942 4517603.268526487, 521357.2196878717 4517604.599226054, 521356.72377582337 4517605.98520738, 521356.3661016533 4517607.413122709, 521356.1501099593 4517608.869220434, 521356.0778808594 4517610.339477539, 521356.0778808594 4517744.339477539, 521356.1501099593 4517745.809734644, 521356.3661016533 4517747.265832369, 521356.72377582337 4517748.693747698, 521357.2196878717 4517750.079729024, 521357.8490618942 4517751.410428591, 521358.60583667486 4517752.673031034, 521359.4827240589 4517753.855376801, 521360.47127914155 4517754.946079257, 521361.5619815969 4517755.934634339, 521362.7443273641 4517756.811521724, 521364.00692980696 4517757.568296504, 521365.3376293739 4517758.197670527, 521366.7236107006 4517758.693582575, 521368.1515260291 4517759.051256745, 521369.6076237544 4517759.26724844, 521371.0778808594 4517759.339477539, 521477.1279296875 4517759.339477539, 521478.59818679246 4517759.26724844, 521480.05428451777 4517759.051256745, 521481.4821998463 4517758.693582575, 521482.868181173 4517758.197670527, 521484.1988807399 4517757.568296504, 521485.4614831828 4517756.811521724, 521486.64382894995 4517755.934634339, 521487.7345314053 4517754.946079257, 521488.72308648797 4517753.855376801, 521489.599973872 4517752.673031034, 521490.3567486527 4517751.410428591, 521490.9861226752 4517750.079729024, 521491.4820347235 4517748.693747698, 521491.83970889356 4517747.265832369, 521492.0557005876 4517745.809734644, 521492.1279296875 4517744.339477539, 521492.1279296875 4517610.339477539, 521492.0557005876 4517608.869220434, 521491.83970889356 4517607.413122709, 521491.4820347235 4517605.98520738, 521490.9861226752 4517604.599226054, 521490.3567486527 4517603.268526487, 521489.599973872 4517602.005924044, 521488.72308648797 4517600.823578277, 521487.7345314053 4517599.732875821, 521486.64382894995 4517598.744320739, 521485.4614831828 4517597.867433354, 521484.1988807399 4517597.110658574, 521482.868181173 4517596.481284551, 521481.4821998463 4517595.985372503, 521480.05428451777 4517595.627698333, 521478.59818679246 4517595.4117066385, 521477.1279296875 4517595.339477539, 521371.0778808594 4517595.339477539))",0.28568704030878117,10.408046508944325,0.10291498472358897,0.1654526904553386,-0.04056396002372571,145.43921583828515,152.27295907227378,131.8712546130711,161.24464554341142,131.5577101191146,126.24356330567335,2841.0930674130786,3792.168003580649,3084.9371931600317
17S_P6,17S,2013-06-12,2013-06-12,2013,June,5.4,39.81,1697,"POLYGON ((526894.4512939453 4520057.735717773, 526892.9810368404 4520057.807946873, 526891.524939115 4520058.023938567, 526890.0970237865 4520058.381612738, 526888.7110424598 4520058.877524786, 526887.380342893 4520059.506898808, 526886.11774045 4520060.263673589, 526884.9353946828 4520061.140560973, 526883.8446922275 4520062.129116056, 526882.8561371448 4520063.219818511, 526881.9792497607 4520064.402164279, 526881.22247498 4520065.664766721, 526880.5931009577 4520066.995466288, 526880.0971889093 4520068.381447614, 526879.7395147393 4520069.809362943, 526879.5235230452 4520071.265460668, 526879.4512939453 4520072.735717773, 526879.4512939453 4520206.735717773, 526879.5235230452 4520208.205974879, 526879.7395147393 4520209.662072604, 526880.0971889093 4520211.089987933, 526880.5931009577 4520212.475969259, 526881.22247498 4520213.806668825, 526881.9792497607 4520215.069271268, 526882.8561371448 4520216.251617036, 526883.8446922275 4520217.342319491, 526884.9353946828 4520218.330874573, 526886.11774045 4520219.207761958, 526887.380342893 4520219.964536739, 526888.7110424598 4520220.593910761, 526890.0970237865 4520221.089822809, 526891.524939115 4520221.4474969795, 526892.9810368404 4520221.663488674, 526894.4512939453 4520221.735717773, 527000.5012817383 4520221.735717773, 527001.9715388432 4520221.663488674, 527003.4276365686 4520221.4474969795, 527004.8555518971 4520221.089822809, 527006.2415332238 4520220.593910761, 527007.5722327906 4520219.964536739, 527008.8348352336 4520219.207761958, 527010.0171810008 4520218.330874573, 527011.107883456 4520217.342319491, 527012.0964385387 4520216.251617036, 527012.9733259229 4520215.069271268, 527013.7301007035 4520213.806668825, 527014.3594747259 4520212.475969259, 527014.8553867743 4520211.089987933, 527015.2130609443 4520209.662072604, 527015.4290526384 4520208.205974879, 527015.5012817383 4520206.735717773, 527015.5012817383 4520072.735717773, 527015.4290526384 4520071.265460668, 527015.2130609443 4520069.809362943, 527014.8553867743 4520068.381447614, 527014.3594747259 4520066.995466288, 527013.7301007035 4520065.664766721, 527012.9733259229 4520064.402164279, 527012.0964385387 4520063.219818511, 527011.107883456 4520062.129116056, 527010.0171810008 4520061.140560973, 527008.8348352336 4520060.263673589, 527007.5722327906 4520059.506898808, 527006.2415332238 4520058.877524786, 527004.8555518971 4520058.381612738, 527003.4276365686 4520058.023938567, 527001.9715388432 4520057.807946873, 527000.5012817383 4520057.735717773, 526894.4512939453 4520057.735717773))",0.31773001276531887,13.033278099496066,0.14241067702207144,0.20739269296149496,-0.028502756298955784,150.1098635220619,160.2607815828,135.05856879692897,171.64645275645205,134.1147526300295,126.65542033103537,2454.209100754044,3460.996016421921,2596.1040721116287
26E_P3,26E,2013-06-12,2013-06-12,2013,June,1.95,7.89,480,"POLYGON ((521848.5316772461 4517335.512512207, 521847.06142014114 4517335.5847413065, 521845.6053224158 4517335.800733001, 521844.1774070873 4517336.158407171, 521842.7914257606 4517336.654319219, 521841.4607261937 4517337.283693242, 521840.1981237508 4517338.040468022, 521839.01577798364 4517338.917355407, 521837.92507552827 4517339.905910489, 521836.9365204456 4517340.996612945, 521836.0596330616 4517342.178958712, 521835.3028582809 4517343.441561155, 521834.6734842584 4517344.772260722, 521834.1775722101 4517346.158242048, 521833.81989804003 4517347.586157377, 521833.603906346 4517349.042255102, 521833.5316772461 4517350.512512207, 521833.5316772461 4517484.512512207, 521833.603906346 4517485.982769312, 521833.81989804003 4517487.438867037, 521834.1775722101 4517488.866782366, 521834.6734842584 4517490.252763692, 521835.3028582809 4517491.583463259, 521836.0596330616 4517492.846065702, 521836.9365204456 4517494.028411469, 521837.92507552827 4517495.119113925, 521839.01577798364 4517496.107669007, 521840.1981237508 4517496.984556392, 521841.4607261937 4517497.741331172, 521842.7914257606 4517498.370705195, 521844.1774070873 4517498.866617243, 521845.6053224158 4517499.224291413, 521847.06142014114 4517499.440283108, 521848.5316772461 4517499.512512207, 521954.5817260742 4517499.512512207, 521956.0519831792 4517499.440283108, 521957.5080809045 4517499.224291413, 521958.935996233 4517498.866617243, 521960.3219775597 4517498.370705195, 521961.65267712664 4517497.741331172, 521962.9152795695 4517496.984556392, 521964.09762533667 4517496.107669007, 521965.18832779204 4517495.119113925, 521966.1768828747 4517494.028411469, 521967.05377025873 4517492.846065702, 521967.8105450394 4517491.583463259, 521968.4399190619 4517490.252763692, 521968.9358311102 4517488.866782366, 521969.2935052803 4517487.438867037, 521969.5094969743 4517485.982769312, 521969.5817260742 4517484.512512207, 521969.5817260742 4517350.512512207, 521969.5094969743 4517349.042255102, 521969.2935052803 4517347.586157377, 521968.9358311102 4517346.158242048, 521968.4399190619 4517344.772260722, 521967.8105450394 4517343.441561155, 521967.05377025873 4517342.178958712, 521966.1768828747 4517340.996612945, 521965.18832779204 4517339.905910489, 521964.09762533667 4517338.917355407, 521962.9152795695 4517338.040468022, 521961.65267712664 4517337.283693242, 521960.3219775597 4517336.654319219, 521958.935996233 4517336.158407171, 521957.5080809045 4517335.800733001, 521956.0519831792 4517335.5847413065, 521954.5817260742 4517335.512512207, 521848.5316772461 4517335.512512207))",0.2852461185238489,11.458098536842897,0.11452548469415497,0.18341267215929447,-0.055415931069410264,148.2786522140369,154.21202014283762,133.77293834998855,161.8028643203737,133.12052866239364,127.86402183596051,2769.263448816737,3898.105306673074,3097.544592934543
